"question","varname","hscp_name","0","1"
"q29a","Yes,help for me with personal tasks","Aberdeen City",96,4
"q29a","Yes,help for me with personal tasks","Aberdeenshire",95.6,4.4
"q29a","Yes,help for me with personal tasks","Angus",94.2,5.8
"q29a","Yes,help for me with personal tasks","Argyll and Bute",94,6
"q29a","Yes,help for me with personal tasks","Clackmannanshire and Stirling",94.6,5.4
"q29a","Yes,help for me with personal tasks","Dumfries and Galloway",94,6
"q29a","Yes,help for me with personal tasks","Dundee City",93.3,6.7
"q29a","Yes,help for me with personal tasks","East Ayrshire",91.3,8.7
"q29a","Yes,help for me with personal tasks","East Dunbartonshire",94.9,5.1
"q29a","Yes,help for me with personal tasks","East Lothian",95.6,4.4
"q29a","Yes,help for me with personal tasks","East Renfrewshire",94.7,5.3
"q29a","Yes,help for me with personal tasks","Edinburgh",95.7,4.3
"q29a","Yes,help for me with personal tasks","Falkirk",93.7,6.3
"q29a","Yes,help for me with personal tasks","Highland",94.5,5.5
"q29a","Yes,help for me with personal tasks","Inverclyde",92.7,7.3
"q29a","Yes,help for me with personal tasks","Midlothian",95.1,4.9
"q29a","Yes,help for me with personal tasks","Moray",94.3,5.7
"q29a","Yes,help for me with personal tasks","North Ayrshire",91.8,8.2
"q29a","Yes,help for me with personal tasks","Orkney Islands",93.9,6.1
"q29a","Yes,help for me with personal tasks","Renfrewshire",93.3,6.7
"q29a","Yes,help for me with personal tasks","Scottish Borders",95.3,4.7
"q29a","Yes,help for me with personal tasks","Shetland Islands",95.3,4.7
"q29a","Yes,help for me with personal tasks","South Ayrshire",94.1,5.9
"q29a","Yes,help for me with personal tasks","South Lanarkshire",93.6,6.4
"q29a","Yes,help for me with personal tasks","West Dunbartonshire",92.6,7.4
"q29a","Yes,help for me with personal tasks","West Lothian",93.8,6.2
"q29a","Yes,help for me with personal tasks","Western Isles",95,5
"q29a","Yes,help for me with personal tasks","Fife",94,6
"q29a","Yes,help for me with personal tasks","Perth and Kinross",95.5,4.5
"q29a","Yes,help for me with personal tasks","Glasgow City",91.6,8.4
"q29a","Yes,help for me with personal tasks","North Lanarkshire",91.5,8.5
"q29b","Yes, help for me with household tasks","Aberdeen City",95.7,4.3
"q29b","Yes, help for me with household tasks","Aberdeenshire",95.5,4.5
"q29b","Yes, help for me with household tasks","Angus",93.5,6.5
"q29b","Yes, help for me with household tasks","Argyll and Bute",93.8,6.2
"q29b","Yes, help for me with household tasks","Clackmannanshire and Stirling",93.8,6.2
"q29b","Yes, help for me with household tasks","Dumfries and Galloway",93.1,6.9
"q29b","Yes, help for me with household tasks","Dundee City",93.3,6.7
"q29b","Yes, help for me with household tasks","East Ayrshire",91.6,8.4
"q29b","Yes, help for me with household tasks","East Dunbartonshire",94.4,5.6
"q29b","Yes, help for me with household tasks","East Lothian",94.8,5.2
