"question","varname","byvar","var","0","1"
"q29g","No, not had any help but I feel that I needed it","Religion","None",97.6,2.4
"q29g","No, not had any help but I feel that I needed it","Religion","Pagan",94.9,5.1
"q29g","No, not had any help but I feel that I needed it","Religion","Another religion",93.4,6.6
"q29g","No, not had any help but I feel that I needed it","Religion","Church of Scotland",98,2
"q29g","No, not had any help but I feel that I needed it","Religion","Roman Catholic",97.1,2.9
"q29g","No, not had any help but I feel that I needed it","Religion","Other Christian",97.2,2.8
"q29g","No, not had any help but I feel that I needed it","Religion","Muslim",93.6,6.4
"q29g","No, not had any help but I feel that I needed it","Religion","Buddhist",95.3,4.7
"q29g","No, not had any help but I feel that I needed it","Religion","Sikh",97.6,2.4
"q29g","No, not had any help but I feel that I needed it","Religion","Jewish",92.8,7.2
"q29g","No, not had any help but I feel that I needed it","Religion","Hindu",96.6,3.4
"q29g","No, not had any help but I feel that I needed it","Religion","Unknown",96.3,3.7
