"question","varname","hscp_name","0","1"
"q30a","Council","Aberdeen City",72.3,27.7
"q30a","Council","Aberdeenshire",73.3,26.7
"q30a","Council","Angus",78.4,21.6
"q30a","Council","Argyll and Bute",74.4,25.6
"q30a","Council","Clackmannanshire and Stirling",76.3,23.7
"q30a","Council","Dumfries and Galloway",76.3,23.7
"q30a","Council","Dundee City",80.1,19.9
"q30a","Council","East Ayrshire",77.8,22.2
"q30a","Council","East Dunbartonshire",71.4,28.6
"q30a","Council","East Lothian",74.2,25.8
"q30a","Council","East Renfrewshire",74.9,25.1
"q30a","Council","Edinburgh",74.1,25.9
"q30a","Council","Falkirk",79.5,20.5
"q30a","Council","Highland",89.3,10.7
"q30a","Council","Inverclyde",81.5,18.5
"q30a","Council","Midlothian",80.7,19.3
"q30a","Council","Moray",78.5,21.5
"q30a","Council","North Ayrshire",72.4,27.6
"q30a","Council","Orkney Islands",78.1,21.9
"q30a","Council","Renfrewshire",79.8,20.2
"q30a","Council","Scottish Borders",74.6,25.4
"q30a","Council","Shetland Islands",72.3,27.7
"q30a","Council","South Ayrshire",77,23
"q30a","Council","South Lanarkshire",80.2,19.8
"q30a","Council","West Dunbartonshire",74.7,25.3
"q30a","Council","West Lothian",77.8,22.2
"q30a","Council","Western Isles",70.4,29.6
"q30a","Council","Fife",77.9,22.1
"q30a","Council","Perth and Kinross",71.6,28.4
"q30a","Council","Glasgow City",81.6,18.4
"q30a","Council","North Lanarkshire",81.6,18.4
"q30b","Me/family","Aberdeen City",52.1,47.9
"q30b","Me/family","Aberdeenshire",52.7,47.3
"q30b","Me/family","Angus",46.6,53.4
"q30b","Me/family","Argyll and Bute",43.9,56.1
"q30b","Me/family","Clackmannanshire and Stirling",55.3,44.7
"q30b","Me/family","Dumfries and Galloway",54.9,45.1
"q30b","Me/family","Dundee City",52.4,47.6
"q30b","Me/family","East Ayrshire",53.7,46.3
"q30b","Me/family","East Dunbartonshire",46.7,53.3
"q30b","Me/family","East Lothian",47.7,52.3
"q30b","Me/family","East Renfrewshire",47.9,52.1
"q30b","Me/family","Edinburgh",51,49
"q30b","Me/family","Falkirk",49,51
"q30b","Me/family","Highland",52.2,47.8
"q30b","Me/family","Inverclyde",60.1,39.9
"q30b","Me/family","Midlothian",48.3,51.7
"q30b","Me/family","Moray",56.6,43.4
"q30b","Me/family","North Ayrshire",50.2,49.8
"q30b","Me/family","Orkney Islands",67.1,32.9
"q30b","Me/family","Renfrewshire",54.8,45.2
"q30b","Me/family","Scottish Borders",51.2,48.8
"q30b","Me/family","Shetland Islands",48,52
"q30b","Me/family","South Ayrshire",48.9,51.1
"q30b","Me/family","South Lanarkshire",56.6,43.4
"q30b","Me/family","West Dunbartonshire",57.3,42.7
"q30b","Me/family","West Lothian",50.5,49.5
"q30b","Me/family","Western Isles",61,39
"q30b","Me/family","Fife",55,45
"q30b","Me/family","Perth and Kinross",49,51
"q30b","Me/family","Glasgow City",55,45
"q30b","Me/family","North Lanarkshire",56.7,43.3
"q30c","NHS","Aberdeen City",87.3,12.7
"q30c","NHS","Aberdeenshire",85.9,14.1
"q30c","NHS","Angus",87.5,12.5
"q30c","NHS","Argyll and Bute",85.4,14.6
"q30c","NHS","Clackmannanshire and Stirling",88.3,11.7
