"analysisby","question","hscp_name","Question","mean"
"S37000001","q31","Aberdeen City","I had a choice",35
"S37000001","q31","Aberdeen City","I did not want a choice",5.2
"S37000001","q31","Aberdeen City","I had no choices due to medical reasons",14.2
"S37000001","q31","Aberdeen City","I was not offered any choices",23
"S37000001","q31","Aberdeen City","Can't remember/don't know",22.5
"S37000002","q31","Aberdeenshire","I had a choice",40.6
"S37000002","q31","Aberdeenshire","I did not want a choice",5.6
"S37000002","q31","Aberdeenshire","I had no choices due to medical reasons",11.1
"S37000002","q31","Aberdeenshire","I was not offered any choices",23
"S37000002","q31","Aberdeenshire","Can't remember/don't know",19.7
"S37000003","q31","Angus","I had a choice",45.5
"S37000003","q31","Angus","I did not want a choice",4.4
"S37000003","q31","Angus","I had no choices due to medical reasons",9.3
"S37000003","q31","Angus","I was not offered any choices",17.8
"S37000003","q31","Angus","Can't remember/don't know",23
"S37000004","q31","Argyll and Bute","I had a choice",35.6
"S37000004","q31","Argyll and Bute","I did not want a choice",6
"S37000004","q31","Argyll and Bute","I had no choices due to medical reasons",10.5
"S37000004","q31","Argyll and Bute","I was not offered any choices",22.2
"S37000004","q31","Argyll and Bute","Can't remember/don't know",25.7
"S37000005","q31","Clackmannanshire and Stirling","I had a choice",28.7
"S37000005","q31","Clackmannanshire and Stirling","I did not want a choice",4.5
"S37000005","q31","Clackmannanshire and Stirling","I had no choices due to medical reasons",15.9
"S37000005","q31","Clackmannanshire and Stirling","I was not offered any choices",29.9
"S37000005","q31","Clackmannanshire and Stirling","Can't remember/don't know",21
"S37000006","q31","Dumfries and Galloway","I had a choice",41.4
"S37000006","q31","Dumfries and Galloway","I did not want a choice",5.3
"S37000006","q31","Dumfries and Galloway","I had no choices due to medical reasons",10.5
"S37000006","q31","Dumfries and Galloway","I was not offered any choices",20.1
"S37000006","q31","Dumfries and Galloway","Can't remember/don't know",22.8
"S37000007","q31","Dundee City","I had a choice",36.9
"S37000007","q31","Dundee City","I did not want a choice",7.8
"S37000007","q31","Dundee City","I had no choices due to medical reasons",13.5
"S37000007","q31","Dundee City","I was not offered any choices",20.6
"S37000007","q31","Dundee City","Can't remember/don't know",21.2
"S37000008","q31","East Ayrshire","I had a choice",38.6
"S37000008","q31","East Ayrshire","I did not want a choice",3.3
"S37000008","q31","East Ayrshire","I had no choices due to medical reasons",16.9
"S37000008","q31","East Ayrshire","I was not offered any choices",17.7
"S37000008","q31","East Ayrshire","Can't remember/don't know",23.5
"S37000009","q31","East Dunbartonshire","I had a choice",35.2
