analysisby,question,byvar,var,Question,mean,mean201920
17-24,q31,age_band_6,17-24,I had a choice,37.7,40.5
17-24,q31,age_band_6,17-24,I did not want a choice,3.2,5
17-24,q31,age_band_6,17-24,I had no choices due to medical reasons,8.6,12
17-24,q31,age_band_6,17-24,I was not offered any choices,18.8,12.6
17-24,q31,age_band_6,17-24,Can't remember/don't know,31.6,29.7
25-34,q31,age_band_6,25-34,I had a choice,30.4,40.9
25-34,q31,age_band_6,25-34,I did not want a choice,2.9,3.8
25-34,q31,age_band_6,25-34,I had no choices due to medical reasons,9.9,9.7
25-34,q31,age_band_6,25-34,I was not offered any choices,23.9,17.6
25-34,q31,age_band_6,25-34,Can't remember/don't know,32.9,28
35-44,q31,age_band_6,35-44,I had a choice,31.4,37
35-44,q31,age_band_6,35-44,I did not want a choice,2.7,2.9
35-44,q31,age_band_6,35-44,I had no choices due to medical reasons,10.6,12.9
35-44,q31,age_band_6,35-44,I was not offered any choices,27.9,16.8
35-44,q31,age_band_6,35-44,Can't remember/don't know,27.5,30.4
45-54,q31,age_band_6,45-54,I had a choice,32.7,39.3
45-54,q31,age_band_6,45-54,I did not want a choice,3.2,3.3
45-54,q31,age_band_6,45-54,I had no choices due to medical reasons,12.6,14.5
45-54,q31,age_band_6,45-54,I was not offered any choices,25.5,19.4
45-54,q31,age_band_6,45-54,Can't remember/don't know,26,23.4
55-64,q31,age_band_6,55-64,I had a choice,32.5,39.2
55-64,q31,age_band_6,55-64,I did not want a choice,4.9,5.3
55-64,q31,age_band_6,55-64,I had no choices due to medical reasons,13.6,13
55-64,q31,age_band_6,55-64,I was not offered any choices,25.2,19.8
55-64,q31,age_band_6,55-64,Can't remember/don't know,23.8,22.7
65 plus,q31,age_band_6,65 plus,I had a choice,38.9,44.9
65 plus,q31,age_band_6,65 plus,I did not want a choice,8,8.3
65 plus,q31,age_band_6,65 plus,I had no choices due to medical reasons,11.1,12.8
65 plus,q31,age_band_6,65 plus,I was not offered any choices,21.8,14.9
65 plus,q31,age_band_6,65 plus,Can't remember/don't know,20.2,19.1
65 plus,q31,age_band_6,OVERALL,I had a choice,35.6,42
65 plus,q31,age_band_6,OVERALL,I did not want a choice,5.8,6.1
65 plus,q31,age_band_6,OVERALL,I had no choices due to medical reasons,11.6,12.9
65 plus,q31,age_band_6,OVERALL,I was not offered any choices,23.5,16.7
65 plus,q31,age_band_6,OVERALL,Can't remember/don't know,23.6,22.3
