"analysisby","question","byvar","var","Question","mean"
"1","q31","sex","1","I had a choice",34.1
"1","q31","sex","1","I did not want a choice",6
"1","q31","sex","1","I had no choices due to medical reasons",12.3
"1","q31","sex","1","I was not offered any choices",21.9
"1","q31","sex","1","Can't remember/don't know",25.7
"2","q31","sex","2","I had a choice",36.6
"2","q31","sex","2","I did not want a choice",5.6
"2","q31","sex","2","I had no choices due to medical reasons",11.1
"2","q31","sex","2","I was not offered any choices",24.7
"2","q31","sex","2","Can't remember/don't know",22.1
