"question","byvar","row_var","hscp_name","%negative","%neutral","%positive"
"q33","hscp","S37000001","Aberdeen City",15.1,22.9,62
"q33","hscp","S37000002","Aberdeenshire",17.9,20.7,61.4
"q33","hscp","S37000003","Angus",13.1,20.5,66.4
"q33","hscp","S37000004","Argyll and Bute",16,21.1,62.9
"q33","hscp","S37000005","Clackmannanshire and Stirling",21.3,15.9,62.7
"q33","hscp","S37000006","Dumfries and Galloway",10.9,20.7,68.4
"q33","hscp","S37000007","Dundee City",19.7,17.2,63.2
"q33","hscp","S37000008","East Ayrshire",20.6,15.7,63.7
"q33","hscp","S37000009","East Dunbartonshire",13.7,17.5,68.8
"q33","hscp","S37000010","East Lothian",16.7,18.3,65
"q33","hscp","S37000011","East Renfrewshire",11.1,23.3,65.6
"q33","hscp","S37000012","Edinburgh",15.5,18.8,65.8
"q33","hscp","S37000013","Falkirk",19.1,24.4,56.5
"q33","hscp","S37000016","Highland",15.8,15.7,68.4
"q33","hscp","S37000017","Inverclyde",13.7,25.5,60.7
"q33","hscp","S37000018","Midlothian",14.6,25.3,60.1
"q33","hscp","S37000019","Moray",19.7,28.8,51.5
"q33","hscp","S37000020","North Ayrshire",20.3,21.8,57.9
"q33","hscp","S37000022","Orkney Islands",4.8,12.6,82.6
"q33","hscp","S37000024","Renfrewshire",17.7,23.9,58.4
"q33","hscp","S37000025","Scottish Borders",14.1,22.3,63.6
"q33","hscp","S37000026","Shetland Islands",6.9,18.8,74.3
"q33","hscp","S37000027","South Ayrshire",8.9,20.5,70.7
"q33","hscp","S37000028","South Lanarkshire",20.1,23.5,56.5
"q33","hscp","S37000029","West Dunbartonshire",16.6,23.9,59.5
"q33","hscp","S37000030","West Lothian",20.8,21.8,57.4
"q33","hscp","S37000031","Western Isles",7.4,8.5,84.1
"q33","hscp","S37000032","Fife",19.1,21.1,59.8
"q33","hscp","S37000033","Perth and Kinross",12.2,17.9,69.9
"q33","hscp","S37000034","Glasgow City",16.4,20.8,62.7
"q33","hscp","S37000035","North Lanarkshire",21.7,23.6,54.6
