"analysisby","question","byvar","row_var","hscp_name","var","mean","varname"
"S37000001","q35","hscp","S37000001","Aberdeen City","analysis_var1",5.2,"Up to 4 hours a week"
"S37000001","q35","hscp","S37000001","Aberdeen City","analysis_var2",3.7,"5-19 hours a week"
"S37000001","q35","hscp","S37000001","Aberdeen City","analysis_var3",1.3,"20-34 hours a week"
"S37000001","q35","hscp","S37000001","Aberdeen City","analysis_var4",0.8,"35-49 hours a week"
"S37000001","q35","hscp","S37000001","Aberdeen City","analysis_var5",3.3,"50 or more hours a week"
"S37000001","q35","hscp","S37000001","Aberdeen City","analysis_var6",85.8,"No"
"S37000002","q35","hscp","S37000002","Aberdeenshire","analysis_var1",6.8,"Up to 4 hours a week"
"S37000002","q35","hscp","S37000002","Aberdeenshire","analysis_var2",3.8,"5-19 hours a week"
"S37000002","q35","hscp","S37000002","Aberdeenshire","analysis_var3",1.6,"20-34 hours a week"
"S37000002","q35","hscp","S37000002","Aberdeenshire","analysis_var4",0.6,"35-49 hours a week"
"S37000002","q35","hscp","S37000002","Aberdeenshire","analysis_var5",3.1,"50 or more hours a week"
"S37000002","q35","hscp","S37000002","Aberdeenshire","analysis_var6",84.1,"No"
"S37000003","q35","hscp","S37000003","Angus","analysis_var1",6.4,"Up to 4 hours a week"
"S37000003","q35","hscp","S37000003","Angus","analysis_var2",4.6,"5-19 hours a week"
"S37000003","q35","hscp","S37000003","Angus","analysis_var3",1.5,"20-34 hours a week"
"S37000003","q35","hscp","S37000003","Angus","analysis_var4",1.3,"35-49 hours a week"
"S37000003","q35","hscp","S37000003","Angus","analysis_var5",4,"50 or more hours a week"
"S37000003","q35","hscp","S37000003","Angus","analysis_var6",82.3,"No"
"S37000004","q35","hscp","S37000004","Argyll and Bute","analysis_var1",5.5,"Up to 4 hours a week"
"S37000004","q35","hscp","S37000004","Argyll and Bute","analysis_var2",4.3,"5-19 hours a week"
"S37000004","q35","hscp","S37000004","Argyll and Bute","analysis_var3",1.3,"20-34 hours a week"
"S37000004","q35","hscp","S37000004","Argyll and Bute","analysis_var4",1.8,"35-49 hours a week"
"S37000004","q35","hscp","S37000004","Argyll and Bute","analysis_var5",4.5,"50 or more hours a week"
"S37000004","q35","hscp","S37000004","Argyll and Bute","analysis_var6",82.6,"No"
"S37000005","q35","hscp","S37000005","Clackmannanshire and Stirling","analysis_var1",6.9,"Up to 4 hours a week"
"S37000005","q35","hscp","S37000005","Clackmannanshire and Stirling","analysis_var2",5.4,"5-19 hours a week"
"S37000005","q35","hscp","S37000005","Clackmannanshire and Stirling","analysis_var3",1.8,"20-34 hours a week"
"S37000005","q35","hscp","S37000005","Clackmannanshire and Stirling","analysis_var4",1.4,"35-49 hours a week"
"S37000005","q35","hscp","S37000005","Clackmannanshire and Stirling","analysis_var5",4.2,"50 or more hours a week"
"S37000005","q35","hscp","S37000005","Clackmannanshire and Stirling","analysis_var6",80.4,"No"
"S37000006","q35","hscp","S37000006","Dumfries and Galloway","analysis_var1",5.7,"Up to 4 hours a week"
"S37000006","q35","hscp","S37000006","Dumfries and Galloway","analysis_var2",4.2,"5-19 hours a week"
"S37000006","q35","hscp","S37000006","Dumfries and Galloway","analysis_var3",1.5,"20-34 hours a week"
"S37000006","q35","hscp","S37000006","Dumfries and Galloway","analysis_var4",1.3,"35-49 hours a week"
"S37000006","q35","hscp","S37000006","Dumfries and Galloway","analysis_var5",5.3,"50 or more hours a week"
"S37000006","q35","hscp","S37000006","Dumfries and Galloway","analysis_var6",82,"No"
"S37000007","q35","hscp","S37000007","Dundee City","analysis_var1",5.9,"Up to 4 hours a week"
"S37000007","q35","hscp","S37000007","Dundee City","analysis_var2",4.6,"5-19 hours a week"
"S37000007","q35","hscp","S37000007","Dundee City","analysis_var3",1.5,"20-34 hours a week"
"S37000007","q35","hscp","S37000007","Dundee City","analysis_var4",1.5,"35-49 hours a week"
"S37000007","q35","hscp","S37000007","Dundee City","analysis_var5",3.9,"50 or more hours a week"
"S37000007","q35","hscp","S37000007","Dundee City","analysis_var6",82.6,"No"
"S37000008","q35","hscp","S37000008","East Ayrshire","analysis_var1",6.6,"Up to 4 hours a week"
"S37000008","q35","hscp","S37000008","East Ayrshire","analysis_var2",5.9,"5-19 hours a week"
"S37000008","q35","hscp","S37000008","East Ayrshire","analysis_var3",2.2,"20-34 hours a week"
"S37000008","q35","hscp","S37000008","East Ayrshire","analysis_var4",1.5,"35-49 hours a week"
"S37000008","q35","hscp","S37000008","East Ayrshire","analysis_var5",5.9,"50 or more hours a week"
"S37000008","q35","hscp","S37000008","East Ayrshire","analysis_var6",77.8,"No"
"S37000009","q35","hscp","S37000009","East Dunbartonshire","analysis_var1",5.8,"Up to 4 hours a week"
"S37000009","q35","hscp","S37000009","East Dunbartonshire","analysis_var2",5.1,"5-19 hours a week"
"S37000009","q35","hscp","S37000009","East Dunbartonshire","analysis_var3",1.3,"20-34 hours a week"
"S37000009","q35","hscp","S37000009","East Dunbartonshire","analysis_var4",0.6,"35-49 hours a week"
"S37000009","q35","hscp","S37000009","East Dunbartonshire","analysis_var5",4.1,"50 or more hours a week"
"S37000009","q35","hscp","S37000009","East Dunbartonshire","analysis_var6",83.2,"No"
"S37000010","q35","hscp","S37000010","East Lothian","analysis_var1",6.7,"Up to 4 hours a week"
"S37000010","q35","hscp","S37000010","East Lothian","analysis_var2",5.7,"5-19 hours a week"
"S37000010","q35","hscp","S37000010","East Lothian","analysis_var3",1.9,"20-34 hours a week"
"S37000010","q35","hscp","S37000010","East Lothian","analysis_var4",1.1,"35-49 hours a week"
"S37000010","q35","hscp","S37000010","East Lothian","analysis_var5",3.3,"50 or more hours a week"
"S37000010","q35","hscp","S37000010","East Lothian","analysis_var6",81.3,"No"
"S37000011","q35","hscp","S37000011","East Renfrewshire","analysis_var1",8,"Up to 4 hours a week"
"S37000011","q35","hscp","S37000011","East Renfrewshire","analysis_var2",5.8,"5-19 hours a week"
"S37000011","q35","hscp","S37000011","East Renfrewshire","analysis_var3",1.6,"20-34 hours a week"
"S37000011","q35","hscp","S37000011","East Renfrewshire","analysis_var4",1.4,"35-49 hours a week"
"S37000011","q35","hscp","S37000011","East Renfrewshire","analysis_var5",5.2,"50 or more hours a week"
"S37000011","q35","hscp","S37000011","East Renfrewshire","analysis_var6",78,"No"
"S37000012","q35","hscp","S37000012","Edinburgh","analysis_var1",6.1,"Up to 4 hours a week"
"S37000012","q35","hscp","S37000012","Edinburgh","analysis_var2",3.8,"5-19 hours a week"
"S37000012","q35","hscp","S37000012","Edinburgh","analysis_var3",1.2,"20-34 hours a week"
"S37000012","q35","hscp","S37000012","Edinburgh","analysis_var4",0.7,"35-49 hours a week"
"S37000012","q35","hscp","S37000012","Edinburgh","analysis_var5",2.9,"50 or more hours a week"
"S37000012","q35","hscp","S37000012","Edinburgh","analysis_var6",85.3,"No"
"S37000013","q35","hscp","S37000013","Falkirk","analysis_var1",6.7,"Up to 4 hours a week"
"S37000013","q35","hscp","S37000013","Falkirk","analysis_var2",5.6,"5-19 hours a week"
"S37000013","q35","hscp","S37000013","Falkirk","analysis_var3",2,"20-34 hours a week"
"S37000013","q35","hscp","S37000013","Falkirk","analysis_var4",1.5,"35-49 hours a week"
"S37000013","q35","hscp","S37000013","Falkirk","analysis_var5",4.3,"50 or more hours a week"
"S37000013","q35","hscp","S37000013","Falkirk","analysis_var6",79.9,"No"
"S37000016","q35","hscp","S37000016","Highland","analysis_var1",5.7,"Up to 4 hours a week"
"S37000016","q35","hscp","S37000016","Highland","analysis_var2",4.3,"5-19 hours a week"
"S37000016","q35","hscp","S37000016","Highland","analysis_var3",1.9,"20-34 hours a week"
"S37000016","q35","hscp","S37000016","Highland","analysis_var4",1.1,"35-49 hours a week"
"S37000016","q35","hscp","S37000016","Highland","analysis_var5",4.1,"50 or more hours a week"
"S37000016","q35","hscp","S37000016","Highland","analysis_var6",83.1,"No"
"S37000017","q35","hscp","S37000017","Inverclyde","analysis_var1",5.9,"Up to 4 hours a week"
"S37000017","q35","hscp","S37000017","Inverclyde","analysis_var2",5,"5-19 hours a week"
"S37000017","q35","hscp","S37000017","Inverclyde","analysis_var3",2.5,"20-34 hours a week"
"S37000017","q35","hscp","S37000017","Inverclyde","analysis_var4",1.7,"35-49 hours a week"
"S37000017","q35","hscp","S37000017","Inverclyde","analysis_var5",6.2,"50 or more hours a week"
"S37000017","q35","hscp","S37000017","Inverclyde","analysis_var6",78.7,"No"
"S37000018","q35","hscp","S37000018","Midlothian","analysis_var1",7.3,"Up to 4 hours a week"
"S37000018","q35","hscp","S37000018","Midlothian","analysis_var2",4.2,"5-19 hours a week"
"S37000018","q35","hscp","S37000018","Midlothian","analysis_var3",2,"20-34 hours a week"
"S37000018","q35","hscp","S37000018","Midlothian","analysis_var4",1.7,"35-49 hours a week"
"S37000018","q35","hscp","S37000018","Midlothian","analysis_var5",4.2,"50 or more hours a week"
"S37000018","q35","hscp","S37000018","Midlothian","analysis_var6",80.7,"No"
"S37000019","q35","hscp","S37000019","Moray","analysis_var1",5.5,"Up to 4 hours a week"
"S37000019","q35","hscp","S37000019","Moray","analysis_var2",3.5,"5-19 hours a week"
"S37000019","q35","hscp","S37000019","Moray","analysis_var3",1.7,"20-34 hours a week"
"S37000019","q35","hscp","S37000019","Moray","analysis_var4",1.2,"35-49 hours a week"
"S37000019","q35","hscp","S37000019","Moray","analysis_var5",5,"50 or more hours a week"
"S37000019","q35","hscp","S37000019","Moray","analysis_var6",83.1,"No"
"S37000020","q35","hscp","S37000020","North Ayrshire","analysis_var1",7.1,"Up to 4 hours a week"
"S37000020","q35","hscp","S37000020","North Ayrshire","analysis_var2",5.8,"5-19 hours a week"
"S37000020","q35","hscp","S37000020","North Ayrshire","analysis_var3",2,"20-34 hours a week"
