"analysisby","question","byvar","var","mean","varname"
"17-24","q35","age_band_6","analysis_var1",4.2,"Up to 4 hours a week"
"17-24","q35","age_band_6","analysis_var2",3,"5-19 hours a week"
"17-24","q35","age_band_6","analysis_var3",1.2,"20-34 hours a week"
"17-24","q35","age_band_6","analysis_var4",0.8,"35-49 hours a week"
"17-24","q35","age_band_6","analysis_var5",1.6,"50 or more hours a week"
"17-24","q35","age_band_6","analysis_var6",89.2,"No"
"25-34","q35","age_band_6","analysis_var1",4.9,"Up to 4 hours a week"
"25-34","q35","age_band_6","analysis_var2",3.4,"5-19 hours a week"
"25-34","q35","age_band_6","analysis_var3",1.1,"20-34 hours a week"
"25-34","q35","age_band_6","analysis_var4",0.7,"35-49 hours a week"
"25-34","q35","age_band_6","analysis_var5",2.6,"50 or more hours a week"
"25-34","q35","age_band_6","analysis_var6",87.2,"No"
"35-44","q35","age_band_6","analysis_var1",6,"Up to 4 hours a week"
"35-44","q35","age_band_6","analysis_var2",3.7,"5-19 hours a week"
"35-44","q35","age_band_6","analysis_var3",1.5,"20-34 hours a week"
"35-44","q35","age_band_6","analysis_var4",1.3,"35-49 hours a week"
"35-44","q35","age_band_6","analysis_var5",4,"50 or more hours a week"
"35-44","q35","age_band_6","analysis_var6",83.5,"No"
"45-54","q35","age_band_6","analysis_var1",9.5,"Up to 4 hours a week"
"45-54","q35","age_band_6","analysis_var2",6.9,"5-19 hours a week"
"45-54","q35","age_band_6","analysis_var3",2.1,"20-34 hours a week"
"45-54","q35","age_band_6","analysis_var4",1.6,"35-49 hours a week"
"45-54","q35","age_band_6","analysis_var5",4.4,"50 or more hours a week"
"45-54","q35","age_band_6","analysis_var6",75.5,"No"
"55-64","q35","age_band_6","analysis_var1",8.6,"Up to 4 hours a week"
"55-64","q35","age_band_6","analysis_var2",7.8,"5-19 hours a week"
"55-64","q35","age_band_6","analysis_var3",2.6,"20-34 hours a week"
"55-64","q35","age_band_6","analysis_var4",1.9,"35-49 hours a week"
"55-64","q35","age_band_6","analysis_var5",4.6,"50 or more hours a week"
"55-64","q35","age_band_6","analysis_var6",74.5,"No"
"65 plus","q35","age_band_6","analysis_var1",4,"Up to 4 hours a week"
"65 plus","q35","age_band_6","analysis_var2",3.2,"5-19 hours a week"
"65 plus","q35","age_band_6","analysis_var3",1.5,"20-34 hours a week"
"65 plus","q35","age_band_6","analysis_var4",0.9,"35-49 hours a week"
"65 plus","q35","age_band_6","analysis_var5",6.2,"50 or more hours a week"
"65 plus","q35","age_band_6","analysis_var6",84.2,"No"
