"analysisby","question","byvar","var","mean","varname"
"1","q35","sex","analysis_var1",5.9,"Up to 4 hours a week"
"1","q35","sex","analysis_var2",4,"5-19 hours a week"
"1","q35","sex","analysis_var3",1.4,"20-34 hours a week"
"1","q35","sex","analysis_var4",1,"35-49 hours a week"
"1","q35","sex","analysis_var5",3.6,"50 or more hours a week"
"1","q35","sex","analysis_var6",84.1,"No"
"2","q35","sex","analysis_var1",6.7,"Up to 4 hours a week"
"2","q35","sex","analysis_var2",5.5,"5-19 hours a week"
"2","q35","sex","analysis_var3",2,"20-34 hours a week"
"2","q35","sex","analysis_var4",1.4,"35-49 hours a week"
"2","q35","sex","analysis_var5",4.8,"50 or more hours a week"
"2","q35","sex","analysis_var6",79.5,"No"
