question,byvar,var,varname,0,1
q36a,sex,1,Spouse/Partner,67.7,32.3
q36a,sex,2,Spouse/Partner,80.5,19.4
q36b,sex,1,Parent/Grandparent,58.2,41.8
q36b,sex,2,Parent/Grandparent,47.8,52.2
q36c,sex,1,Child/Grandchild,86.5,13.5
q36c,sex,2,Child/Grandchild,81.2,18.8
q36d,sex,1,Friend/Neighbour,91.3,8.7
q36d,sex,2,Friend/Neighbour,90.6,9.4
q36e,sex,1,Relative (any other relationship),84.9,15.1
q36e,sex,2,Relative (any other relationship),84.6,15.4
q36f,sex,1,Someone else,97.8,2.2
q36f,sex,2,Someone else,98.2,1.8
