"question","byvar","row_var","varname","hscp_name","%negative","%neutral","%positive"
"q38a","hscp","S37000001","I have a good balance between caring and other things in my life","Aberdeen City",16.1,20.3,63.6
"q38a","hscp","S37000002","I have a good balance between caring and other things in my life","Aberdeenshire",12,18.8,69.2
"q38a","hscp","S37000003","I have a good balance between caring and other things in my life","Angus",15.6,20.7,63.7
"q38a","hscp","S37000004","I have a good balance between caring and other things in my life","Argyll and Bute",17.5,17.8,64.7
"q38a","hscp","S37000005","I have a good balance between caring and other things in my life","Clackmannanshire and Stirling",17.9,22,60
"q38a","hscp","S37000006","I have a good balance between caring and other things in my life","Dumfries and Galloway",13.3,22.3,64.5
"q38a","hscp","S37000007","I have a good balance between caring and other things in my life","Dundee City",20.6,17.7,61.7
"q38a","hscp","S37000008","I have a good balance between caring and other things in my life","East Ayrshire",16.3,23.3,60.4
"q38a","hscp","S37000009","I have a good balance between caring and other things in my life","East Dunbartonshire",16.9,18.2,64.9
"q38a","hscp","S37000010","I have a good balance between caring and other things in my life","East Lothian",17.4,19.2,63.4
"q38a","hscp","S37000011","I have a good balance between caring and other things in my life","East Renfrewshire",20.5,18.6,61
"q38a","hscp","S37000012","I have a good balance between caring and other things in my life","Edinburgh",16.5,19.8,63.7
"q38a","hscp","S37000013","I have a good balance between caring and other things in my life","Falkirk",17.8,18.5,63.7
"q38a","hscp","S37000016","I have a good balance between caring and other things in my life","Highland",16.5,22,61.5
"q38a","hscp","S37000017","I have a good balance between caring and other things in my life","Inverclyde",17.6,17.6,64.8
"q38a","hscp","S37000018","I have a good balance between caring and other things in my life","Midlothian",22.7,17.2,60.1
"q38a","hscp","S37000019","I have a good balance between caring and other things in my life","Moray",20.6,19.2,60.2
"q38a","hscp","S37000020","I have a good balance between caring and other things in my life","North Ayrshire",16.5,21.2,62.3
"q38a","hscp","S37000022","I have a good balance between caring and other things in my life","Orkney Islands",10,17.4,72.6
"q38a","hscp","S37000024","I have a good balance between caring and other things in my life","Renfrewshire",17.5,23.4,59.1
"q38a","hscp","S37000025","I have a good balance between caring and other things in my life","Scottish Borders",15.7,24.8,59.5
"q38a","hscp","S37000026","I have a good balance between caring and other things in my life","Shetland Islands",15.3,15.9,68.8
"q38a","hscp","S37000027","I have a good balance between caring and other things in my life","South Ayrshire",15.2,20,64.8
"q38a","hscp","S37000028","I have a good balance between caring and other things in my life","South Lanarkshire",19,19.7,61.3
"q38a","hscp","S37000029","I have a good balance between caring and other things in my life","West Dunbartonshire",18.9,22.1,59
"q38a","hscp","S37000030","I have a good balance between caring and other things in my life","West Lothian",18.4,21.3,60.3
"q38a","hscp","S37000031","I have a good balance between caring and other things in my life","Western Isles",13.8,12.3,73.8
"q38a","hscp","S37000032","I have a good balance between caring and other things in my life","Fife",17.1,21.1,61.8
"q38a","hscp","S37000033","I have a good balance between caring and other things in my life","Perth and Kinross",17.4,18.3,64.4
"q38a","hscp","S37000034","I have a good balance between caring and other things in my life","Glasgow City",16.9,20.4,62.7
"q38a","hscp","S37000035","I have a good balance between caring and other things in my life","North Lanarkshire",19.8,20.9,59.3
"q38b","hscp","S37000001","Caring has had a negative impact on my health and wellbeing","Aberdeen City",35.6,25.6,38.8
"q38b","hscp","S37000002","Caring has had a negative impact on my health and wellbeing","Aberdeenshire",28.7,30.4,40.9
"q38b","hscp","S37000003","Caring has had a negative impact on my health and wellbeing","Angus",34.1,27.2,38.7
