"analysisby","posneutneg..negative","posneutneg..neutral","posneutneg..positive","se.posneutneg..negative","se.posneutneg..neutral","se.posneutneg..positive","DEff.posneutneg..negative","DEff.posneutneg..neutral","DEff.posneutneg..positive","question","byvar","var","support","%negative","%neutral","%positive"
"0",0.170733834733681,0.202913357089526,0.626352808176793,0.00291676288198882,0.00308577801502421,0.00373191015869318,1.28300775346788,1.2570535130686,1.27063900065136,"I have a good balance between caring and other things in my life","q37a","0","Received support or help",17.1,20.3,62.6
"1",0.254429273779769,0.201806812398449,0.543763913821781,0.0189328625866244,0.0170510465774872,0.0214750828688669,1.3276513918809,1.26813549177714,1.30610200587061,"I have a good balance between caring and other things in my life","q37a","1","Received support or help",25.4,20.2,54.4
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"I have a good balance between caring and other things in my life","q37a","999","Received support or help",11.1,16.3,72.6
"0",0.175884602200452,0.205897339374361,0.618218058425188,0.00340850359229636,0.00358135326816882,0.00432353394920463,1.289591477229,1.26213970892519,1.27426915147192,"I have a good balance between caring and other things in my life","q37b","0","Received support or help",17.6,20.6,61.8
"1",0.166084372542623,0.194737715968082,0.639177911489295,0.00545710874039684,0.00571847990600429,0.00701072056816541,1.28261591346427,1.24393033611579,1.27125516821088,"I have a good balance between caring and other things in my life","q37b","1","Received support or help",16.6,19.5,63.9
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"I have a good balance between caring and other things in my life","q37b","999","Received support or help",11.1,16.3,72.6
"0",0.164967554442136,0.202173620326038,0.632858825231826,0.00301581448992749,0.00322405980138745,0.00388940807158038,1.28885808965563,1.25797218622828,1.27093936059407,"I have a good balance between caring and other things in my life","q37c","0","Received support or help",16.5,20.2,63.3
"1",0.2405463097089,0.208633732238144,0.550819958052956,0.00965172174831351,0.00903866619353949,0.011203266441926,1.29217765663777,1.25388951424836,1.28549930694255,"I have a good balance between caring and other things in my life","q37c","1","Received support or help",24.1,20.9,55.1
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"I have a good balance between caring and other things in my life","q37c","999","Received support or help",11.1,16.3,72.6
"0",0.171514885741148,0.202663919816248,0.625821194442604,0.00290665588911555,0.00306471569323504,0.00370937909467839,1.28585841013651,1.25705698986082,1.27076553185865,"I have a good balance between caring and other things in my life","q37d","0","Received support or help",17.2,20.3,62.6
"1",0.26619980977665,0.214573589105211,0.51922660111814,0.0243626664888997,0.0224851254760666,0.0276612514697517,1.30003473949294,1.28351143711277,1.31140599224414,"I have a good balance between caring and other things in my life","q37d","1","Received support or help",26.6,21.5,51.9
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"I have a good balance between caring and other things in my life","q37d","999","Received support or help",11.1,16.3,72.6
"0",0.169735072752448,0.20235868372148,0.627906243526071,0.00290057099100948,0.00306906905310953,0.00371284923339114,1.28732518030591,1.25832661317982,1.2722632819173,"I have a good balance between caring and other things in my life","q37e","0","Received support or help",17,20.2,62.8
"1",0.330440321481287,0.226308583996822,0.443251094521891,0.0240473476673601,0.0211261343887068,0.0252905255217652,1.28482917046217,1.2530390979687,1.2740893068649,"I have a good balance between caring and other things in my life","q37e","1","Received support or help",33,22.6,44.3
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"I have a good balance between caring and other things in my life","q37e","999","Received support or help",11.1,16.3,72.6
"0",0.172614715908236,0.201446908241915,0.625938375849849,0.00300411649769294,0.00315110643533006,0.00382630917941766,1.28484385236753,1.25505906192536,1.27141639021457,"I have a good balance between caring and other things in my life","q37f","0","Received support or help",17.3,20.1,62.6
"1",0.180562449327746,0.219810846261606,0.599626704410649,0.0105912379991954,0.0112861425947355,0.0133754237350562,1.30517169637359,1.27867310610082,1.28288143836687,"I have a good balance between caring and other things in my life","q37f","1","Received support or help",18.1,22,60
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"I have a good balance between caring and other things in my life","q37f","999","Received support or help",11.1,16.3,72.6
"0",0.178616735226995,0.195321803384436,0.626061461388569,0.00459105840898642,0.00470787262634964,0.00579566959319443,1.28017812323262,1.25657730480066,1.27850609478312,"I have a good balance between caring and other things in my life","q37g","0","Received no support or help",17.9,19.5,62.6
"1",0.169662386689234,0.207898076205954,0.622439537104812,0.00371951428492943,0.00396973645746395,0.00476545087246678,1.29079772378888,1.25781805780889,1.27013629043087,"I have a good balance between caring and other things in my life","q37g","1","Received no support or help",17,20.8,62.2
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"I have a good balance between caring and other things in my life","q37g","999","Received no support or help",11.1,16.3,72.6
"0",0.333655570259884,0.273461328955089,0.392883100785027,0.00372931416255286,0.00351619476386538,0.00386909754421686,1.26440644291401,1.25781595987652,1.26855586578469,"Caring has had a negative impact on my health and wellbeing","q37a","0","Received support or help",33.4,27.3,39.3
"1",0.536925593887689,0.200502925586991,0.26257148052532,0.0218803280281968,0.0173910816000771,0.0191849286423386,1.30046635065351,1.2743007526868,1.28383508658441,"Caring has had a negative impact on my health and wellbeing","q37a","1","Received support or help",53.7,20.1,26.3
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"Caring has had a negative impact on my health and wellbeing","q37a","999","Received support or help",35.8,20.5,43.7
"0",0.334214717320747,0.274943424307188,0.390841858372065,0.00430197877056619,0.00407193451009682,0.00445567444500032,1.26534258265915,1.26537046991461,1.26860710454789,"Caring has had a negative impact on my health and wellbeing","q37b","0","Received support or help",33.4,27.5,39.1
"1",0.354759241322831,0.261361716105282,0.383879042571887,0.00714872344768035,0.00652041301535445,0.00729376769258111,1.26685308734031,1.24968684018832,1.27634546898917,"Caring has had a negative impact on my health and wellbeing","q37b","1","Received support or help",35.5,26.1,38.4
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"Caring has had a negative impact on my health and wellbeing","q37b","999","Received support or help",35.8,20.5,43.7
"0",0.324057981354039,0.275858907328833,0.400083111317129,0.00387644791761853,0.00369232441247421,0.00406068659302103,1.26352358620431,1.25700530952377,1.26533420834806,"Caring has had a negative impact on my health and wellbeing","q37c","0","Received support or help",32.4,27.6,40
"1",0.464706918174934,0.234742829822442,0.300550252002624,0.0113644114480465,0.00959507106788755,0.0105170149863157,1.28246324729911,1.26595552059447,1.29967022543223,"Caring has had a negative impact on my health and wellbeing","q37c","1","Received support or help",46.5,23.5,30.1
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"Caring has had a negative impact on my health and wellbeing","q37c","999","Received support or help",35.8,20.5,43.7
"0",0.336526336378152,0.272581725037036,0.390891938584812,0.00371536365533128,0.00349113050990972,0.00383999616783541,1.26611059507009,1.25881803913672,1.26830076017105,"Caring has had a negative impact on my health and wellbeing","q37d","0","Received support or help",33.7,27.3,39.1
"1",0.514673944072979,0.200394372509479,0.284931683417542,0.0282419637185376,0.0225507436864362,0.0258137342995757,1.30592336039401,1.29793837637575,1.33754096128047,"Caring has had a negative impact on my health and wellbeing","q37d","1","Received support or help",51.5,20,28.5
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"Caring has had a negative impact on my health and wellbeing","q37d","999","Received support or help",35.8,20.5,43.7
"0",0.335012817770133,0.273003081668732,0.391984100561136,0.00371782261742448,0.00350024952047532,0.00385154809170847,1.26607242380117,1.25966135966112,1.27011539278654,"Caring has had a negative impact on my health and wellbeing","q37e","0","Received support or help",33.5,27.3,39.2
"1",0.548104321126148,0.195228702635221,0.256666976238631,0.0254882297133121,0.0199193569768711,0.0226598252820791,1.26461915908297,1.21763271770953,1.29760203694362,"Caring has had a negative impact on my health and wellbeing","q37e","1","Received support or help",54.8,19.5,25.7
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"Caring has had a negative impact on my health and wellbeing","q37e","999","Received support or help",35.8,20.5,43.7
"0",0.335427104030844,0.270271633149314,0.394301262819843,0.00382902991351336,0.00359417205598275,0.00397166018022678,1.2658377663172,1.26060010703655,1.27116122582834,"Caring has had a negative impact on my health and wellbeing","q37f","0","Received support or help",33.5,27,39.4
"1",0.390915365226009,0.28288184597304,0.326202788800951,0.0136410656596731,0.0124827284242367,0.0129846654866322,1.2832466742425,1.26123839538206,1.25955920528639,"Caring has had a negative impact on my health and wellbeing","q37f","1","Received support or help",39.1,28.3,32.6
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"Caring has had a negative impact on my health and wellbeing","q37f","999","Received support or help",35.8,20.5,43.7
"0",0.379309197340581,0.254712147715131,0.365978654944289,0.00594782660611202,0.00531154900861348,0.00591687761632043,1.27653523620549,1.26256451096798,1.28177096404133,"Caring has had a negative impact on my health and wellbeing","q37g","0","Received no support or help",37.9,25.5,36.6
"1",0.31335738925551,0.282326727734752,0.404315883009738,0.00468037838107759,0.00453985527387122,0.00495613945564399,1.26170654827222,1.26058567666608,1.26391344011548,"Caring has had a negative impact on my health and wellbeing","q37g","1","Received no support or help",31.3,28.2,40.4
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"Caring has had a negative impact on my health and wellbeing","q37g","999","Received no support or help",35.8,20.5,43.7
"0",0.259073332443913,0.364308996766055,0.376617670790033,0.00363383148791034,0.00396879350887956,0.00399207034533671,1.27302861024431,1.25865753518814,1.25616799670492,"I have a say in services provided for the person(s) I look after","q37a","0","Received support or help",25.9,36.4,37.7
"1",0.0656516161337127,0.163206099560715,0.771142284305572,0.0109067904003445,0.0164491678966782,0.0185890312766079,1.32366707562033,1.35229694717693,1.33644943643089,"I have a say in services provided for the person(s) I look after","q37a","1","Received support or help",6.6,16.3,77.1
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"I have a say in services provided for the person(s) I look after","q37a","999","Received support or help",17.6,31.8,50.6
"0",0.278860283865159,0.370870032476921,0.35026968365792,0.00427504335876521,0.00459057876706594,0.00452492771018455,1.26758324211416,1.25972078003618,1.25484224281366,"I have a say in services provided for the person(s) I look after","q37b","0","Received support or help",27.9,37.1,35
"1",0.182655972751025,0.322325199395468,0.495018827853507,0.006034500316511,0.00729939162579593,0.00777413138843548,1.27825245319367,1.27829329430671,1.26700878564434,"I have a say in services provided for the person(s) I look after","q37b","1","Received support or help",18.3,32.2,49.5
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"I have a say in services provided for the person(s) I look after","q37b","999","Received support or help",17.6,31.8,50.6
"0",0.269756127091027,0.377562699701272,0.3526811732077,0.00386386994139056,0.00420585955571115,0.00413971881073872,1.26690656662147,1.25824052078943,1.2548158564543,"I have a say in services provided for the person(s) I look after","q37c","0","Received support or help",27,37.8,35.3
