"question","byvar","var","varname","%negative","%neutral","%positive"
"q38a","age_band_6","17-24","I have a good balance between caring and other things in my life",10.2,14.3,75.4
"q38a","age_band_6","25-34","I have a good balance between caring and other things in my life",15.9,17.8,66.2
"q38a","age_band_6","35-44","I have a good balance between caring and other things in my life",22.6,18.7,58.7
"q38a","age_band_6","45-54","I have a good balance between caring and other things in my life",19,19.9,61
"q38a","age_band_6","55-64","I have a good balance between caring and other things in my life",17.2,21.4,61.4
"q38a","age_band_6","65 plus","I have a good balance between caring and other things in my life",13.6,22,64.4
"q38b","age_band_6","17-24","Caring has had a negative impact on my health and wellbeing",24.9,23.7,51.4
"q38b","age_band_6","25-34","Caring has had a negative impact on my health and wellbeing",34.1,24.1,41.8
"q38b","age_band_6","35-44","Caring has had a negative impact on my health and wellbeing",36.2,26.5,37.3
"q38b","age_band_6","45-54","Caring has had a negative impact on my health and wellbeing",34.4,27.5,38.1
"q38b","age_band_6","55-64","Caring has had a negative impact on my health and wellbeing",34.2,27.9,38
"q38b","age_band_6","65 plus","Caring has had a negative impact on my health and wellbeing",33.6,27.6,38.8
"q38c","age_band_6","17-24","I have a say in services provided for the person(s) I look after",26.2,38.3,35.5
"q38c","age_band_6","25-34","I have a say in services provided for the person(s) I look after",25.4,36.8,37.8
"q38c","age_band_6","35-44","I have a say in services provided for the person(s) I look after",26.3,36.2,37.4
"q38c","age_band_6","45-54","I have a say in services provided for the person(s) I look after",24.8,38.2,37
"q38c","age_band_6","55-64","I have a say in services provided for the person(s) I look after",24.3,36,39.7
"q38c","age_band_6","65 plus","I have a say in services provided for the person(s) I look after",25.8,30.8,43.4
"q38d","age_band_6","17-24","Local services are well coordinated for the person(s) I look after",30.3,36.4,33.3
"q38d","age_band_6","25-34","Local services are well coordinated for the person(s) I look after",34.9,37.1,28
"q38d","age_band_6","35-44","Local services are well coordinated for the person(s) I look after",34.2,40.2,25.6
"q38d","age_band_6","45-54","Local services are well coordinated for the person(s) I look after",32.5,41.1,26.4
"q38d","age_band_6","55-64","Local services are well coordinated for the person(s) I look after",31.4,38.8,29.8
"q38d","age_band_6","65 plus","Local services are well coordinated for the person(s) I look after",29.4,35.8,34.8
"q38e","age_band_6","17-24","I feel supported to continue caring",17.2,36.8,46
"q38e","age_band_6","25-34","I feel supported to continue caring",24.7,39.7,35.6
"q38e","age_band_6","35-44","I feel supported to continue caring",29,42,29
"q38e","age_band_6","45-54","I feel supported to continue caring",29.3,46.2,24.6
"q38e","age_band_6","55-64","I feel supported to continue caring",28.4,43.8,27.8
"q38e","age_band_6","65 plus","I feel supported to continue caring",27.9,38.6,33.5
