"analysisby","posneutneg..negative","posneutneg..neutral","posneutneg..positive","se.posneutneg..negative","se.posneutneg..neutral","se.posneutneg..positive","DEff.posneutneg..negative","DEff.posneutneg..neutral","DEff.posneutneg..positive","question","byvar","var"
"1",0.0478951781014352,0.130569005967805,0.82153581593076,0.00290275059096219,0.00445996708319178,0.00509901957649822,1.28489447014536,1.21846389193494,1.23316264057145,"q38a","q35","1"
"2",0.151893327238526,0.220097769447822,0.628008903313652,0.00533187254770251,0.00603935210998827,0.00708248649870567,1.29511114117279,1.24698604673172,1.26011406845722,"q38a","q35","2"
"3",0.241521122761385,0.256945416964505,0.50153346027411,0.0105310926320525,0.0107467195431469,0.0122261768251942,1.30311431483668,1.30204051160276,1.28700336097375,"q38a","q35","3"
"4",0.282221503491656,0.234281443502171,0.483497053006172,0.0130449596739031,0.0120315218577507,0.014307681486915,1.34580513607988,1.29274036555973,1.31325522073437,"q38a","q35","4"
"5",0.309925596309044,0.251464237947641,0.438610165743315,0.00701906594721932,0.00649826102160826,0.00742932179460578,1.35121255001126,1.31590309552082,1.31484176706206,"q38a","q35","5"
"1",0.200991229350495,0.244834748196157,0.554174022453348,0.00555226585232736,0.00593574875526215,0.0068628778759502,1.23783011744861,1.22881119645089,1.22927825675178,"q38b","q35","1"
"2",0.336009471675957,0.280701631549284,0.38328889677476,0.00709393118857592,0.00671480054445481,0.00727500037036227,1.25811073956917,1.24557692048833,1.2488675006539,"q38b","q35","2"
"3",0.419825014251366,0.294012819155223,0.286162166593411,0.0123117592672245,0.0113685845124472,0.0111934257443431,1.28345432460103,1.28415428914492,1.26497448898541,"q38b","q35","3"
"4",0.436565677885052,0.296991625372481,0.266442696742467,0.0144955215062264,0.0133490539127944,0.0129496266893484,1.30474652153221,1.30360980659967,1.31047270048014,"q38b","q35","4"
"5",0.474335803046172,0.276964537841129,0.248699659112699,0.00766609899301946,0.00684937457399049,0.00662214977635688,1.31055005942007,1.30261820429954,1.30499334108468,"q38b","q35","5"
"1",0.255014604953432,0.412283567083147,0.332701827963421,0.0062417879143673,0.00708240992559155,0.00677200514238234,1.21843463233469,1.22997218979742,1.22731620203698,"q38c","q35","1"
"2",0.253760294430635,0.348749491781408,0.397490213787956,0.00683413107850395,0.00742873231352445,0.00762944474317083,1.263583911338,1.24482201846349,1.24518769239491,"q38c","q35","2"
"3",0.240458268287613,0.334895181407531,0.424646550304856,0.0111360308939186,0.0122959735916286,0.0128462828796548,1.2808191087521,1.28039848041466,1.27412178119347,"q38c","q35","3"
"4",0.235483279036879,0.35087038143381,0.413646339529311,0.012933790050558,0.0145181539544253,0.0149444503087376,1.31187104531355,1.30656571006682,1.30004282989663,"q38c","q35","4"
"5",0.255106901779413,0.301645154838736,0.443247943381851,0.00709550937244554,0.00737802397835225,0.0079873034401196,1.33614045536086,1.30319299387117,1.30374580664138,"q38c","q35","5"
"1",0.255501231241599,0.423984714253933,0.320514054504468,0.00631501140404704,0.00713146223855203,0.00669661262181747,1.24473663985492,1.23640041555064,1.22255659933254,"q38d","q35","1"
"2",0.316481093595317,0.399164150817806,0.284354755586878,0.00734836030963139,0.00769141082493012,0.00704279791950235,1.26103271265595,1.24608715938951,1.23133419063459,"q38d","q35","2"
"3",0.36719361048832,0.36597283411819,0.266833555393491,0.012774591817579,0.0126965067469982,0.0115569409107311,1.29071324803449,1.27677230763283,1.25471311370197,"q38d","q35","3"
"4",0.341491137099015,0.386955456988497,0.271553405912488,0.014562516801284,0.0149259395840435,0.0136228010255805,1.30178712402951,1.29639845922137,1.29505439304036,"q38d","q35","4"
"5",0.386907846711246,0.332964182850636,0.280127970438118,0.00794689594717805,0.00763376708224046,0.00722034767337935,1.32403238172783,1.30487222020642,1.28570488782368,"q38d","q35","5"
"1",0.178093806180173,0.499465894618041,0.322440299201785,0.00550868235003557,0.00719692255055253,0.00672478484219978,1.23249047780797,1.2317237804065,1.23060616285716,"q38e","q35","1"
"2",0.280123612768918,0.43692979970369,0.282946587527392,0.00699420394770937,0.00769050793773323,0.00699315442963828,1.2556643132052,1.24434399156077,1.24765607352359,"q38e","q35","2"
"3",0.331792256860174,0.400711484767479,0.267496258372347,0.0122625917254275,0.0127318207043208,0.0114494143915251,1.27958245471046,1.27348775158395,1.26217762874196,"q38e","q35","3"
"4",0.335017925494436,0.371817525123178,0.293164549382386,0.0142780808731,0.0145591897541319,0.0136739902734162,1.31198737275347,1.30114801739632,1.29368553251472,"q38e","q35","4"
"5",0.372725315863469,0.336424949579553,0.290849734556978,0.00773066702496181,0.00752125491846864,0.00715532616013493,1.32407368424203,1.3125844132065,1.28580999918832,"q38e","q35","5"
