"analysisby","posneutneg..negative","posneutneg..neutral","posneutneg..positive","se.posneutneg..negative","se.posneutneg..neutral","se.posneutneg..positive","DEff.posneutneg..negative","DEff.posneutneg..neutral","DEff.posneutneg..positive","question","byvar","var"
"0",0.178616735226995,0.195321803384436,0.626061461388569,0.00459105840898642,0.00470787262634964,0.00579566959319443,1.28017812323262,1.25657730480066,1.27850609478312,"q38a","q37g","0"
"1",0.169662386689234,0.207898076205954,0.622439537104812,0.00371951428492943,0.00396973645746395,0.00476545087246678,1.29079772378888,1.25781805780889,1.27013629043087,"q38a","q37g","1"
"999",0.110768502633178,0.162765743016008,0.726465754350815,0.0180053809847109,0.0215750542065212,0.0260199500661635,1.27478050443119,1.32298737837815,1.31961720638618,"q38a","q37g","999"
"0",0.379309197340581,0.254712147715131,0.365978654944289,0.00594782660611202,0.00531154900861348,0.00591687761632043,1.27653523620549,1.26256451096798,1.28177096404133,"q38b","q37g","0"
"1",0.31335738925551,0.282326727734752,0.404315883009738,0.00468037838107759,0.00453985527387122,0.00495613945564399,1.26170654827222,1.26058567666608,1.26391344011548,"q38b","q37g","1"
"999",0.358124430256176,0.204516910845728,0.437358658898096,0.0321764089224641,0.0266129698116248,0.0339819587997534,1.29434168270723,1.25108003530466,1.34860894563879,"q38b","q37g","999"
"0",0.162999897708574,0.293379031928155,0.543621070363272,0.00468472658825839,0.00576052657588862,0.00628576655948048,1.29664034386495,1.29024638697373,1.28368510995632,"q38c","q37g","0"
"1",0.315512772467192,0.402697923090406,0.281789304442403,0.00493796694329434,0.00520236918173295,0.00477650910936338,1.25638846376802,1.2520993757151,1.25445395276904,"q38c","q37g","1"
"999",0.176413429882136,0.317680301916469,0.505906268201396,0.0297190643697601,0.0360882800372745,0.0393190063009621,1.32078595225649,1.3054409986523,1.34378174822504,"q38c","q37g","999"
"0",0.248832336508928,0.327706707869341,0.423460955621731,0.00551009085047513,0.00593737643480731,0.0062310447125575,1.2966822543989,1.27733499178148,1.26951953480635,"q38d","q37g","0"
"1",0.371057313241398,0.430272949801853,0.198669736956749,0.00517052014204095,0.00529886494617507,0.00426131718812976,1.25887945368558,1.25870095451015,1.25346498397829,"q38d","q37g","1"
"999",0.192874663704158,0.364775964332191,0.44234937196365,0.0317960373731329,0.0382231859045658,0.0398622553767514,1.35261264342769,1.31324040330096,1.3416515318721,"q38d","q37g","999"
"0",0.180980196250866,0.361388900908163,0.457630902840971,0.00482777484905356,0.00598594444004229,0.00621347139057207,1.2905103070642,1.27422760686218,1.2765894332803,"q38e","q37g","0"
"1",0.348550973033977,0.471156701687961,0.180292325278063,0.00504182696694636,0.00529512160626313,0.00408381979207099,1.25288603051145,1.25933690719258,1.26293014745757,"q38e","q37g","1"
"999",0.15448965821758,0.363423507525175,0.482086834257245,0.0282058733480477,0.0369433066730028,0.0389898996691516,1.35606835534425,1.31349593377342,1.3556351714114,"q38e","q37g","999"
