"analysisby","posneutneg..negative","posneutneg..positive","se.posneutneg..negative","se.posneutneg..positive","DEff.posneutneg..negative","DEff.posneutneg..positive","question","byvar","row_var","hscp_name","%negative","%positive"
"S37000001",0.0745469438912102,0.92545305610879,0.00482696027081031,0.00482696027081031,1.2493488299325,1.2493488299325,"q39","hscp","S37000001","Aberdeen City",7.5,92.5
"S37000002",0.0564109707001263,0.943589029299874,0.00417024249363088,0.00417024249363088,1.38422505367,1.38422505367,"q39","hscp","S37000002","Aberdeenshire",5.6,94.4
"S37000003",0.0763432051814174,0.923656794818583,0.00627648656880627,0.00627648656880627,1.38213921567373,1.38213921567373,"q39","hscp","S37000003","Angus",7.6,92.4
"S37000004",0.0917389215498945,0.908261078450106,0.00748797019575218,0.00748797019575218,2.86417808053088,2.86417808053088,"q39","hscp","S37000004","Argyll and Bute",9.2,90.8
"S37000005",0.0826353601503254,0.917364639849675,0.00584308105642685,0.00584308105642685,1.63570355677814,1.63570355677814,"q39","hscp","S37000005","Clackmannanshire and Stirling",8.3,91.7
"S37000006",0.08318554797922,0.91681445202078,0.00538343373671602,0.00538343373671602,1.77068578612974,1.77068578612974,"q39","hscp","S37000006","Dumfries and Galloway",8.3,91.7
"S37000007",0.113831423969528,0.886168576030472,0.00683229643236227,0.00683229643236227,1.4975889779536,1.4975889779536,"q39","hscp","S37000007","Dundee City",11.4,88.6
"S37000008",0.105484881870502,0.894515118129497,0.00730285367746621,0.00730285367746621,1.35852495318519,1.35852495318519,"q39","hscp","S37000008","East Ayrshire",10.5,89.5
"S37000009",0.0707217315968419,0.929278268403158,0.00602802063279484,0.00602802063279484,1.36394292279117,1.36394292279117,"q39","hscp","S37000009","East Dunbartonshire",7.1,92.9
"S37000010",0.0740335539264492,0.925966446073551,0.00669627279415129,0.00669627279415129,1.4275564339763,1.4275564339763,"q39","hscp","S37000010","East Lothian",7.4,92.6
"S37000011",0.0814865965002186,0.918513403499781,0.00656630455764646,0.00656630455764646,1.43675628800793,1.43675628800793,"q39","hscp","S37000011","East Renfrewshire",8.1,91.9
"S37000012",0.083846144658073,0.916153855341927,0.00318892071111604,0.00318892071111604,1.35454279862134,1.35454279862134,"q39","hscp","S37000012","Edinburgh",8.4,91.6
"S37000013",0.104914593108135,0.895085406891865,0.00629127010165015,0.00629127010165015,1.49416546617384,1.49416546617384,"q39","hscp","S37000013","Falkirk",10.5,89.5
"S37000016",0.0761191369786542,0.923880863021346,0.00398027973530437,0.00398027973530437,2.09613566042076,2.09613566042076,"q39","hscp","S37000016","Highland",7.6,92.4
"S37000017",0.0989350032145918,0.901064996785408,0.00844358591087937,0.00844358591087937,1.58624008299618,1.58624008299618,"q39","hscp","S37000017","Inverclyde",9.9,90.1
"S37000018",0.0789621633995776,0.921037836600422,0.00737836645790965,0.00737836645790965,1.34108788435296,1.34108788435296,"q39","hscp","S37000018","Midlothian",7.9,92.1
"S37000019",0.0733697001849149,0.926630299815085,0.00755207084458409,0.00755207084458409,1.57836768093441,1.57836768093441,"q39","hscp","S37000019","Moray",7.3,92.7
"S37000020",0.112392512723415,0.887607487276585,0.00729806987150008,0.00729806987150008,1.49275039368762,1.49275039368762,"q39","hscp","S37000020","North Ayrshire",11.2,88.8
"S37000022",0.0697233931252438,0.930276606874756,0.0122348835607989,0.0122348835607989,2.34603198613237,2.34603198613237,"q39","hscp","S37000022","Orkney Islands",7,93
"S37000024",0.104439590569328,0.895560409430672,0.00564103275565077,0.00564103275565077,1.50806477293154,1.50806477293154,"q39","hscp","S37000024","Renfrewshire",10.4,89.6
"S37000025",0.0660218191887538,0.933978180811246,0.0053336446907385,0.0053336446907385,1.66956464474917,1.66956464474917,"q39","hscp","S37000025","Scottish Borders",6.6,93.4
"S37000026",0.069867635181891,0.930132364818109,0.0123163454761624,0.0123163454761624,2.9674753035946,2.9674753035946,"q39","hscp","S37000026","Shetland Islands",7,93
"S37000027",0.0826267446325026,0.917373255367497,0.00629029877301155,0.00629029877301155,1.46718149885839,1.46718149885839,"q39","hscp","S37000027","South Ayrshire",8.3,91.7
"S37000028",0.101007902280479,0.898992097719521,0.00416217340894368,0.00416217340894368,1.44481963390273,1.44481963390273,"q39","hscp","S37000028","South Lanarkshire",10.1,89.9
"S37000029",0.101045048071547,0.898954951928453,0.00789604671664222,0.00789604671664222,1.60560318593458,1.60560318593458,"q39","hscp","S37000029","West Dunbartonshire",10.1,89.9
"S37000030",0.105071579379019,0.894928420620981,0.00632543092684973,0.00632543092684973,1.32526311249211,1.32526311249211,"q39","hscp","S37000030","West Lothian",10.5,89.5
"S37000031",0.0661014723887882,0.933898527611212,0.0110040760706181,0.0110040760706181,2.37746073527548,2.37746073527548,"q39","hscp","S37000031","Western Isles",6.6,93.4
"S37000032",0.0980709953932537,0.901929004606746,0.00403581256392691,0.00403581256392691,1.49639611101971,1.49639611101971,"q39","hscp","S37000032","Fife",9.8,90.2
"S37000033",0.063138946230718,0.936861053769282,0.00513693695609701,0.00513693695609701,1.59704889992843,1.59704889992843,"q39","hscp","S37000033","Perth and Kinross",6.3,93.7
"S37000034",0.118995858008365,0.881004141991635,0.00291704423299852,0.00291704423299852,1.53479822651247,1.53479822651247,"q39","hscp","S37000034","Glasgow City",11.9,88.1
"S37000035",0.125538083719966,0.874461916280034,0.00481977450594868,0.00481977450594868,1.57279560121174,1.57279560121174,"q39","hscp","S37000035","North Lanarkshire",12.6,87.4
