"question","byvar","var","varname","0","1"
"q40a","sex","1","Deafness/severe hearing impairment",87.7,12.3
"q40a","sex","2","Deafness/severe hearing impairment",91.2,8.8
"q40b","sex","1","Blindness/severe vision impairment",97.9,2.1
"q40b","sex","2","Blindness/severe vision impairment",98.3,1.7
"q40c","sex","1","Physical disability",89.7,10.3
"q40c","sex","2","Physical disability",91.1,8.9
"q40d","sex","1","Chronic pain lasting at least 3 months",85.5,14.5
"q40d","sex","2","Chronic pain lasting at least 3 months",82,18
"q40e","sex","1","Mental health condition",90.5,9.5
"q40e","sex","2","Mental health condition",87.4,12.6
"q40f","sex","1","Learning disability",98,2
"q40f","sex","2","Learning disability",98.6,1.4
"q40g","sex","1","Another long-term condition",68.5,31.5
"q40g","sex","2","Another long-term condition",71.4,28.6
"q40g","sex","1","Another long-term condition",68.5,31.5
"q40g","sex","2","Another long-term condition",71.4,28.6
"q40i","sex","1","None of the above",53.1,46.9
"q40i","sex","2","None of the above",51.1,48.9
